0243,Heretics of Dune,Dune,Frank Herbert,1985,2,1,0-45005-777-1,New English Library,Science Fiction,
0244,Chapter House Dune,Dune,Frank Herbert,1986,2,1,0-45005-886-7,New English Library,Science Fiction,
0245,Such is Life,,Tom Collins,1986,,,,Hedged & Bell,Historical Fiction,
0246,The Wild Things,,Dave Eggers,2009,1,1,978-0-24114-422-0,Penguin Group,Fiction,
0247,The Kon-Tiki Expedition,,Thor Heyerdahl,1951,1,16,,George Allen & Unwin,Journal,
0248,The Sea of Mist,Might and Magic,Mel Odom,2001,1,1,0-06103-163-1,HarperEntertainment,Fantasy,
0249,Maximum Security,Cherub,Robert Muchamore,2005,1,18,978-0-34088-435-5,Hodder Children's Books,Fiction,
0250,Mad Dogs,Cherub,Robert Muchamore,2007,1,10,978-0-34091-171-6,Hodder Children's Books,Fiction,
0251,The Fall,Cherub,Robert Muchamore,2007,1,2,978-0-34091-170-9,Hodder Children's Books,Fiction,
0252,Class A,Cherub,Robert Muchamore,2004,1,24,978-0-34088-154-5,Hodder Children's Books,Fiction,
0253,Divine Madness,Cherub,Robert Muchamore,2006,1,1,0-34089-434-2,Hodder Children's Books,Fiction,
0254,The General,Cherub,Robert Muchamore,2008,1,1,978-0-34093-184-4,Hodder Children's Books,Fiction,
0255,The Book Theif,,Markus Zusak,2008,2,19,978-0-33042-330-4,Pan Macmillan Publishers,Historical Fiction,
0256,Mao's Last Dancer,,Li Cunxin,2003,2,1,978-0-67004-024-7,Penguin Group,Fiction,
0257,Robinson Crusoe,,Daniel Defoe,,,,,Priory Books,Fiction,
0258,Life of Pi,,Yann Martel,2008,2,18,978-1-84195-392-2,Canongate Books Ltd.,Fiction,
0259,The Messenger,,Markus Zusak,2009,2,3,978-0-33042-473-8,Pan Macmillan Publishers,Fiction,
0260,Symbolic Logic,,Irving M. Copi,1967,3,,,The Macmillan Company,Philosophy,
0261,Eldest,Inheritance,Christopher Paolini,2005,2,5,0-38560-869-1,Doubleday,Young Adult Fiction,
